factor,level,seed,val_accuracy,train_accuracy,val_loss,best_epoch,epochs_run,n_parameters,seconds,stopped_early,error
scheduler,step,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,28.5,True,
scheduler,step,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,22.7,True,
scheduler,step,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,24.6,True,
scheduler,cosine,0,0.9769047619047619,0.9954761904761905,0.1028636460077195,19,21,537354,26.0,True,
scheduler,cosine,1,0.9751190476190477,0.9933333333333333,0.0925943574451265,11,21,537354,33.7,True,
scheduler,cosine,2,0.9757142857142858,0.9951190476190476,0.10153283982049852,17,18,537354,22.5,True,
scheduler,onecycle,0,0.9745238095238096,0.9910714285714286,0.10174055553617932,24,26,537354,33.4,True,
scheduler,onecycle,1,0.9748809523809524,0.9911111111111112,0.09611899966285342,23,33,537354,40.6,True,
scheduler,onecycle,2,0.9755952380952381,0.9944444444444445,0.10778382074265253,29,30,537354,39.9,True,
weight_decay,0.0,0,0.9758333333333333,0.995515873015873,0.10276061285109747,19,21,537354,25.9,True,
weight_decay,0.0,1,0.9751190476190477,0.9941269841269841,0.09826371692475819,17,17,537354,21.6,True,
weight_decay,0.0,2,0.9754761904761905,0.9936904761904762,0.10715047200520833,16,18,537354,23.0,True,
weight_decay,1e-05,0,0.9758333333333333,0.995515873015873,0.10276061285109747,19,21,537354,26.8,True,
weight_decay,1e-05,1,0.9751190476190477,0.9941269841269841,0.09826371692475819,17,17,537354,21.5,True,
weight_decay,1e-05,2,0.9754761904761905,0.9936904761904762,0.10715047200520833,16,18,537354,22.1,True,
weight_decay,0.0001,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,26.1,True,
weight_decay,0.0001,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,21.6,True,
weight_decay,0.0001,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,25.9,True,
weight_decay,0.001,0,0.9779761904761904,0.9943650793650793,0.09894777570452008,19,21,537354,26.2,True,
weight_decay,0.001,1,0.9757142857142858,0.9925396825396825,0.08913319178989955,11,21,537354,25.9,True,
weight_decay,0.001,2,0.9757142857142858,0.9925793650793651,0.0947625732421875,13,20,537354,24.4,True,
augment,False,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,26.4,True,
augment,False,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,20.9,True,
augment,False,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,25.2,True,
augment,True,0,0.9896428571428572,0.982579365079365,0.035945794241768976,56,83,537354,113.9,True,
augment,True,1,0.9895238095238095,0.9842857142857143,0.03607200985863095,57,67,537354,92.9,True,
augment,True,2,0.9895238095238095,0.9829761904761904,0.03668997265043713,63,83,537354,115.3,True,
